Date		Price	Open	High	Low	Vol.	Change%	
7-Apr-17	842.1	845	845.88	837.3	1.11M	-0.35%	
10-Apr-17	841.7	841.54	846.74	840.79	1.05M	-0.05%	
11-Apr-17	839.88	841.7	844.63	834.6	974.34K	-0.22%	
12-Apr-17	841.46	838.46	843.72	837.59	1.14M	0.19%	
13-Apr-17	840.18	841.04	843.73	837.85	1.07M	-0.15%	
17-Apr-17	855.13	841.38	855.64	841.03	1.05M	1.78%	
18-Apr-17	853.99	852.54	857.39	851.25	936.20K	-0.13%	
19-Apr-17	856.51	857.38	860.2	853.53	1.08M	0.30%	
20-Apr-17	860.08	859.74	863.93	857.5	1.19M	0.42%	
21-Apr-17	858.95	860.62	862.44	857.73	1.17M	-0.13%	
24-Apr-17	878.93	868.44	879.96	866.11	1.70M	2.33%	
25-Apr-17	888.84	882.26	892.25	879.28	2.04M	1.13%	
26-Apr-17	889.14	891.39	892.99	885.15	1.32M	0.03%	
27-Apr-17	891.44	890	893.38	887.18	2.34M	0.26%	
28-Apr-17	924.52	929	935.9	923.22	3.85M	3.71%	
1-May-17	932.82	924.15	935.82	920.8	2.33M	0.90%	
2-May-17	937.09	933.27	942.99	931	1.75M	0.46%	
3-May-17	948.45	936.05	950.2	935.21	1.82M	1.21%	
4-May-17	954.72	950.29	959.14	947.37	1.94M	0.66%	
5-May-17	950.28	956.72	958.44	948.1	1.62M	-0.47%	
8-May-17	958.69	947.45	960.99	947.39	1.88M	0.88%	
9-May-17	956.71	961.33	962.2	954.4	1.69M	-0.21%	
10-May-17	954.84	956.22	956.71	949.84	1.15M	-0.20%	
11-May-17	955.89	951.29	957.99	948.61	1.03M	0.11%	
12-May-17	955.14	957.85	957.98	952.06	1.21M	-0.08%	
15-May-17	959.22	955.29	962.7	952.82	1.34M	0.43%	
16-May-17	964.61	963.55	965.9	960.35	1.10M	0.56%	
17-May-17	942.17	959.7	960.99	940.06	2.45M	-2.33%	
18-May-17	950.5	943.2	954.18	941.27	1.80M	0.88%	
19-May-17	954.65	952.82	959.56	952	1.36M	0.44%	
22-May-17	964.07	957	964.82	956.56	1.39M	0.99%	
23-May-17	970.55	969.96	974.51	964.5	1.55M	0.67%	
24-May-17	977.61	975.26	978.12	971.63	1.14M	0.73%	
25-May-17	991.86	979	995.78	977.82	1.95M	1.46%	
26-May-17	993.27	992	996.39	987.36	1.64M	0.14%	
30-May-17	996.17	992.5	997.62	991.36	1.52M	0.29%	
31-May-17	987.09	996.21	999.6	981.68	1.72M	-0.91%	
1-Jun-17	988.29	990.96	993.14	981.29	1.31M	0.12%	
2-Jun-17	996.12	988.59	996.48	987.07	1.74M	0.79%	
5-Jun-17	"1,003.88"	997.89	"1,007.40"	995.45	1.38M	0.78%	
6-Jun-17	996.68	"1,003.31"	"1,008.61"	994.8	1.55M	-0.72%	
7-Jun-17	"1,001.59"	998.82	"1,003.91"	995.81	1.37M	0.49%	
8-Jun-17	"1,004.28"	"1,004.23"	"1,005.60"	996.62	1.69M	0.27%	
9-Jun-17	970.12	"1,005.49"	"1,005.50"	953.37	3.65M	-3.40%	
12-Jun-17	961.81	958.72	968	936.79	4.20M	-0.86%	
13-Jun-17	970.5	972.04	977.91	962.01	2.01M	0.90%	
14-Jun-17	967.93	975.5	979.7	959.51	1.51M	-0.26%	
15-Jun-17	960.18	948.02	960.68	940.37	2.43M	-0.80%	
16-Jun-17	958.62	957.91	959.95	948.7	2.56M	-0.16%	
19-Jun-17	975.22	969.65	979.3	968.2	1.47M	1.73%	
20-Jun-17	968.99	975.31	980.79	968.2	1.30M	-0.64%	
21-Jun-17	978.59	970.79	979.67	969.16	1.16M	0.99%	
22-Jun-17	976.62	976.87	980.5	973.31	1.01M	-0.20%	
23-Jun-17	986.09	975.5	986.62	974.46	1.56M	0.97%	
26-Jun-17	972.09	990	993.99	970.33	1.52M	-1.42%	
27-Jun-17	948.09	961.6	967.22	947.09	2.44M	-2.47%	
28-Jun-17	961.01	950.66	963.24	936.16	2.75M	1.36%	
29-Jun-17	937.82	951.35	951.66	929.6	3.21M	-2.41%	
30-Jun-17	929.68	943.99	945	929.61	2.29M	-0.87%	
3-Jul-17	919.46	933.22	934.24	915.31	1.69M	-1.10%	
5-Jul-17	932.26	924.2	936.29	918.63	2.09M	1.39%	
6-Jul-17	927.69	925	936.14	919.85	2.01M	-0.49%	
7-Jul-17	940.81	930.99	944.66	929.79	1.66M	1.41%	
10-Jul-17	951	941.95	953.13	941.95	1.45M	1.08%	
11-Jul-17	953.53	950.52	954.89	945.12	1.46M	0.27%	
12-Jul-17	967.66	960.86	969.63	957.04	1.60M	1.48%	
13-Jul-17	968.85	970.8	978.7	964.8	1.52M	0.12%	
14-Jul-17	976.91	974	977.54	970.15	1.08M	0.83%	
17-Jul-17	975.96	976.32	983.35	970.8	1.66M	-0.10%	
18-Jul-17	986.95	973.36	990.85	972.04	1.41M	1.13%	
19-Jul-17	992.77	990.01	995.6	987.01	1.41M	0.59%	
20-Jul-17	992.19	997	998.68	984.62	1.42M	-0.06%	
21-Jul-17	993.84	989	995.11	984.17	1.46M	0.17%	
24-Jul-17	998.31	994.1	"1,006.19"	990.27	3.98M	0.45%	
25-Jul-17	969.03	970.7	976.73	963.8	5.93M	-2.93%	
26-Jul-17	965.31	972.78	973.95	960.23	2.22M	-0.38%	
27-Jul-17	952.51	969.18	969.52	937.06	3.72M	-1.33%	
28-Jul-17	958.33	947.99	961.79	945.31	1.81M	0.61%	
31-Jul-17	945.5	960	961.19	941.73	2.29M	-1.34%	
1-Aug-17	946.56	947.81	954.49	944.96	1.33M	0.11%	
2-Aug-17	947.64	948.37	949.1	932.52	2.04M	0.11%	
3-Aug-17	940.3	949.1	950	939.44	1.12M	-0.77%	
4-Aug-17	945.79	943.95	947.54	939.79	1.25M	0.58%	
7-Aug-17	945.75	947.52	948.96	943.5	1.45M	0.00%	
8-Aug-17	944.19	944.29	952.49	942.48	1.51M	-0.16%	
9-Aug-17	940.08	938.45	943.76	933.92	1.40M	-0.44%	
10-Aug-17	923.59	935	936.3	921.78	2.71M	-1.75%	
11-Aug-17	930.09	923.71	933.36	921.22	1.62M	0.70%	
14-Aug-17	938.93	939.07	941.04	934.49	1.15M	0.95%	
15-Aug-17	938.08	941.03	943.07	936.64	1.11M	-0.09%	
16-Aug-17	944.27	941.25	949.9	940.04	1.35M	0.66%	
17-Aug-17	927.66	942.95	943.81	927.64	1.70M	-1.76%	
18-Aug-17	926.18	926.98	931.02	923.45	1.34M	-0.16%	
21-Aug-17	920.87	925.77	928.25	918.6	1.30M	-0.57%	
22-Aug-17	940.4	926.96	941.96	926.17	1.78M	2.12%	
23-Aug-17	942.58	937	945.42	935.24	1.13M	0.23%	
24-Aug-17	936.89	943.71	946.31	930.74	1.29M	-0.60%	
25-Aug-17	930.5	939.21	940.73	930.1	1.19M	-0.68%	
28-Aug-17	928.13	931.88	934.85	926.11	1.05M	-0.25%	
29-Aug-17	935.75	919.95	938.19	919.31	1.16M	0.82%	
30-Aug-17	943.63	935.67	945.86	934.05	1.12M	0.84%	
31-Aug-17	955.24	946.3	957.2	946.25	1.69M	1.23%	
1-Sep-17	951.99	957.47	958.33	950.28	1.04M	-0.34%	
5-Sep-17	941.48	946.86	951.39	935.6	1.46M	-1.10%	
6-Sep-17	942.02	943.87	944.5	932.68	1.39M	0.06%	
7-Sep-17	949.89	944.25	950.5	937.53	1.12M	0.84%	
8-Sep-17	941.41	949.7	950.7	940.01	999.92K	-0.89%	
11-Sep-17	943.29	947.2	952.68	941	1.34M	0.20%	
12-Sep-17	946.65	946.92	948.09	937.5	1.28M	0.36%	
13-Sep-17	950.44	945.5	952.85	944.74	1.10M	0.40%	
14-Sep-17	940.13	946	948.03	938.36	1.43M	-1.08%	
15-Sep-17	935.29	940.09	941.75	931.25	1.99M	-0.51%	
18-Sep-17	929.75	935.01	936.86	925.4	1.47M	-0.59%	
19-Sep-17	936.86	933.41	937.94	926.66	1.24M	0.76%	
20-Sep-17	947.54	937.73	950	937.5	2.00M	1.14%	
21-Sep-17	947.55	948.13	952.8	939.38	1.37M	0.00%	
22-Sep-17	943.26	942.77	950	940.84	1.07M	-0.45%	
25-Sep-17	934.28	939.45	939.75	924.51	1.87M	-0.95%	
26-Sep-17	937.43	936.69	944.08	935.12	1.67M	0.34%	
27-Sep-17	959.9	942.74	965.43	941.95	2.33M	2.40%	
28-Sep-17	964.81	956.25	966.18	955.55	1.40M	0.51%	
29-Sep-17	973.72	966	975.81	966	2.03M	0.92%	
2-Oct-17	967.47	975.65	977.74	961.95	1.54M	-0.64%	
3-Oct-17	972.08	967.56	972.44	962.71	1.08M	0.48%	
4-Oct-17	966.78	971.76	974.4	965.61	1.06M	-0.55%	
5-Oct-17	985.19	972.79	986.51	970.27	1.78M	1.90%	
6-Oct-17	993.64	980	994.26	978.51	1.55M	0.86%	
9-Oct-17	992.31	995	"1,000.46"	991.5	1.30M	-0.13%	
10-Oct-17	987.8	995.3	997.47	981.11	1.16M	-0.45%	
11-Oct-17	"1,005.65"	989.04	"1,007.57"	987.94	1.81M	1.81%	
12-Oct-17	"1,005.65"	"1,003.84"	"1,011.54"	"1,001.10"	1.53M	0.00%	
13-Oct-17	"1,007.87"	"1,009.11"	"1,014.76"	"1,007.06"	1.33M	0.22%	
16-Oct-17	"1,009.35"	"1,009.63"	"1,012.00"	"1,001.52"	1.07M	0.15%	
17-Oct-17	"1,011.00"	"1,007.44"	"1,014.56"	"1,006.05"	1.01M	0.16%	
18-Oct-17	"1,012.74"	"1,011.05"	"1,016.31"	"1,005.32"	1.28M	0.17%	
19-Oct-17	"1,001.84"	"1,004.75"	"1,007.32"	997.3	1.71M	-1.08%	
20-Oct-17	"1,005.07"	"1,007.05"	"1,008.65"	"1,002.27"	1.61M	0.32%	
