Date	        Price	Open	High	Low	Vol.	Change%
7-Apr-17	"1,196.60"	"1,191.50"	"1,208.90"	"1,176.70"	20.44K	0.43%	
8-Apr-17	"1,188.10"	"1,196.60"	"1,202.60"	"1,171.30"	11.02K	-0.71%	
9-Apr-17	"1,215.90"	"1,188.10"	"1,226.90"	"1,180.20"	16.31K	2.34%	
10-Apr-17	"1,220.30"	"1,215.90"	"1,229.90"	"1,208.10"	11.55K	0.36%	
11-Apr-17	"1,235.60"	"1,220.30"	"1,243.40"	"1,209.10"	9.56K	1.25%	
12-Apr-17	"1,227.40"	"1,236.90"	"1,239.00"	"1,221.00"	12.01K	-0.66%	
13-Apr-17	"1,187.00"	"1,227.40"	"1,235.10"	"1,163.50"	19.14K	-3.29%	
14-Apr-17	"1,206.80"	"1,187.00"	"1,219.10"	"1,184.00"	12.32K	1.67%	
15-Apr-17	"1,193.30"	"1,206.80"	"1,215.00"	"1,190.00"	9.15K	-1.12%	
16-Apr-17	"1,212.00"	"1,193.30"	"1,217.60"	"1,190.40"	4.50K	1.57%	
17-Apr-17	"1,240.00"	"1,212.50"	"1,247.00"	"1,202.20"	15.15K	2.31%	
18-Apr-17	"1,265.40"	"1,240.00"	"1,274.80"	"1,237.00"	16.14K	2.05%	
19-Apr-17	"1,260.50"	"1,265.40"	"1,272.00"	"1,255.00"	7.58K	-0.39%	
20-Apr-17	"1,308.40"	"1,260.50"	"1,325.70"	"1,260.10"	15.62K	3.80%	
21-Apr-17	"1,325.60"	"1,308.70"	"1,333.10"	"1,307.50"	8.00K	1.31%	
22-Apr-17	"1,347.50"	"1,327.10"	"1,353.10"	"1,290.10"	12.37K	1.65%	
23-Apr-17	"1,355.20"	"1,346.40"	"1,359.00"	"1,336.00"	7.75K	0.57%	
24-Apr-17	"1,345.00"	"1,355.30"	"1,359.60"	"1,326.90"	7.91K	-0.75%	
25-Apr-17	"1,370.30"	"1,345.00"	"1,378.50"	"1,342.10"	8.27K	1.88%	
26-Apr-17	"1,399.30"	"1,371.00"	"1,411.70"	"1,365.10"	11.81K	2.12%	
27-Apr-17	"1,440.30"	"1,399.30"	"1,449.70"	"1,392.50"	10.40K	2.93%	
28-Apr-17	"1,415.60"	"1,440.30"	"1,447.00"	"1,368.30"	14.02K	-1.71%	
29-Apr-17	"1,423.60"	"1,415.60"	"1,436.60"	"1,401.50"	8.77K	0.57%	
30-Apr-17	"1,435.20"	"1,425.40"	"1,443.50"	"1,403.30"	8.52K	0.81%	
